image_name,area (px),diameter (px),diameter (mm)
01_0.png,144.0,18.384977340698242,0.5515493202209473
01_1.png,1020.0,55.9276237487793,1.6778287124633788
01_2.png,1445.0,65.55170440673828,1.9665511322021483
01_3.png,6132.5,130.81686401367188,3.924505920410156
01_4.png,5463.0,123.98809814453125,3.7196429443359373
01_5.png,1034.5,52.132110595703125,1.5639633178710937
01_7.png,1541.5,51.69376754760742,1.5508130264282225
01_8.png,2454.0,80.52969360351562,2.415890808105469
01_9.png,16498.0,208.3668975830078,6.251006927490234
01_10.png,10306.5,132.39501953125,3.9718505859374997
01_11.png,673.5,40.80461120605469,1.2241383361816405
01_12.png,472.0,30.492938995361328,0.9147881698608398
01_13.png,2768.5,84.1191635131836,2.523574905395508
01_14.png,2119.0,63.253658294677734,1.897609748840332
01_15.png,5257.0,112.7210922241211,3.3816327667236328
01_16.png,15782.5,186.54974365234375,5.596492309570312
01_17.png,7069.0,178.76541137695312,5.362962341308593
01_18.png,10069.0,153.8543243408203,4.615629730224609
01_19.png,10432.5,206.1967010498047,6.18590103149414
01_20.png,3258.0,84.504638671875,2.53513916015625
01_21.png,506.0,30.38646125793457,0.911593837738037
01_22.png,1989.5,61.2213134765625,1.836639404296875
01_23.png,13394.5,184.0322265625,5.520966796874999
01_24.png,920.5,43.97370529174805,1.3192111587524413
01_25.png,1934.0,84.21125793457031,2.5263377380371095
01_26.png,5830.5,108.63260650634766,3.2589781951904295
01_27.png,7135.0,134.19236755371094,4.025771026611328
01_28.png,3191.5,88.3956527709961,2.6518695831298826
01_29.png,530.5,41.593467712402344,1.2478040313720702
01_30.png,1665.0,59.54010009765625,1.7862030029296874
01_31.png,2183.0,62.95682907104492,1.8887048721313475
01_32.png,2282.0,70.55675506591797,2.116702651977539
01_33.png,1105.0,57.58491897583008,1.7275475692749023
01_35.png,2481.5,80.62277221679688,2.4186831665039064
01_36.png,2033.5,81.85690307617188,2.4557070922851563
01_37.png,4803.0,117.51615142822266,3.5254845428466797
01_38.png,558.5,32.6312255859375,0.978936767578125
01_39.png,21807.5,226.54490661621094,6.796347198486328
01_40.png,6109.0,110.73505401611328,3.3220516204833985
01_41.png,1203.0,49.120330810546875,1.4736099243164062
01_42.png,532.0,32.20502853393555,0.9661508560180664
01_43.png,407.5,27.91684913635254,0.8375054740905762
01_44.png,3105.5,86.66922760009766,2.6000768280029294
01_45.png,7829.5,144.5717010498047,4.33715103149414
01_46.png,806.5,38.80953598022461,1.1642860794067382
01_49.png,7280.5,147.6789093017578,4.430367279052734
01_50.png,455.0,28.505369186401367,0.855161075592041
01_51.png,624.5,41.08527755737305,1.2325583267211913
01_52.png,956.0,53.15415954589844,1.5946247863769532
01_53.png,1494.0,57.916561126708984,1.7374968338012695
01_54.png,3855.5,97.69359588623047,2.930807876586914
01_55.png,782.0,37.888938903808594,1.1366681671142578
